province,fullAddr,time,lat,lng
云南省,云南省普洱市江城县,72,22.625657650356,101.79692922563
北京,北京北京市东城区,24,39.938574012986,116.42188470126
北京,北京北京市西城区,24,39.934280143709,116.37319010402
北京,北京北京市朝阳区,24,39.958953166407,116.52169489108
北京,北京北京市丰台区,24,39.841937852205,116.25837033547
北京,北京北京市石景山区,24,39.938866544646,116.18455581037
北京,北京北京市海淀区,24,40.033162045078,116.23967780102
北京,北京北京市房山区,24,39.726752620796,115.8628363129
北京,北京北京市通州区,24,39.809814883851,116.74007918068
北京,北京北京市顺义区,24,40.154951470441,116.72822904528
北京,北京北京市昌平区,24,40.221723549832,116.21645635689
北京,北京北京市大兴区,24,39.652790118364,116.42519459738
北京,北京北京市怀柔区,24,40.638139340311,116.59340835643
