shopName,lat,lng
天潼餐厅,31.24992732,121.4893625
汽车城餐厅,31.30173118,121.1613877
八一餐厅,31.63205956,121.4035833
洛川餐厅,31.27745408,121.4701597
御桥餐厅,31.15955248,121.5706265
人民餐厅,31.05490293,121.7750746
共和新餐厅,31.28101406,121.4590324
龙柏餐厅,31.09467553,121.2412273
港澳餐厅,31.13817007,121.379855
万达餐厅,31.30727334,121.5204342
新里程餐厅,31.16591543,121.5310874
环城餐厅,30.87714552,121.4863849
中环餐厅,31.25096872,121.3909847
玉田餐厅,31.28539033,121.4976271
迪美餐厅,31.23480212,121.4797842
淞沪餐厅,31.24916171,121.4878995
阳光小区餐厅,30.91228945,121.4515647
嘉松餐厅,31.16024772,121.2337204
鼎城餐厅,31.04731512,121.7628337
大学城餐厅,31.05589484,121.2090984
罗秀餐厅,31.13275284,121.4133578
凯旋餐厅,31.19254557,121.4341882
清河餐厅,31.39067786,121.2521326
长海餐厅,31.31574372,121.5331565
洲海餐厅,31.32164656,121.612656
虹梅地铁餐厅,31.14855867,121.4206771
新客站餐厅,31.25463278,121.4612642
季景餐厅,31.34326632,121.5932091
虹凯餐厅,31.2032402,121.4276153
新北新泾餐厅,31.22231478,121.379452
宝翔餐厅,31.30517396,121.3319727
源泉餐厅,31.28593915,121.5356275
肇周餐厅,31.22300636,121.4901262
汇宝餐厅,31.16201959,121.3563047
宝宸餐厅,31.33763697,121.4465968
颛桥餐厅,31.07294033,121.4056582
新八佰伴餐厅,31.23440461,121.5228411
东江湾餐厅,31.27665779,121.4863658
金浦餐厅,31.25146459,121.487017
金沙江餐厅,31.23657183,121.3851127
成山餐厅,31.17753991,121.5121672
贵都餐厅,31.24916171,121.4878995
安信餐厅,31.40044778,121.4949037
凉城联华餐厅,31.30060104,121.4811832
丽园餐厅,31.2162482,121.4928506
钦州餐厅,31.16420371,121.4267861
联富餐厅,31.25050985,121.4885288
巨峰餐厅,31.28627034,121.5993973
华徐餐厅,31.17420309,121.289992
新桥餐厅,31.06840607,121.3211347
泓鑫餐厅,31.21752389,121.4085094
武定餐厅,31.23885064,121.4552954
天宝餐厅,31.27515355,121.5055244
金湘餐厅,31.25873375,121.61577
益丰餐厅,31.20945632,121.6445587
豫安阁餐厅,31.23113667,121.4992857
刘行餐厅,31.36731936,121.3755246
虹桥连廊餐厅,31.18941002,121.3320705
永盛餐厅,31.33274374,121.2751417
东方餐厅,31.21025439,121.5300386
绅富餐厅,31.15876556,121.1444406
松江万达餐厅,31.06306369,121.2497213
江镇餐厅,31.18141517,121.7572118
金海餐厅,31.27323164,121.6598402
陈行餐厅,31.10053773,121.5108346
江川餐厅,31.12055678,121.2798538
张江餐厅,31.21074558,121.6222864
新美罗餐厅,31.19983452,121.446322
祝桥餐厅,31.11745517,121.769065
新江桥餐厅,31.26191732,121.3497017
罗山餐厅,31.25361763,121.5664282
罗餐厅,31.41499556,121.3562878
九亭站餐厅,31.14200822,121.3213659
新客站东南餐厅,31.25463278,121.4612642
施湾餐厅,31.15323304,121.7638802
吾盈餐厅,31.14921011,121.1011199
金科餐厅,31.21025376,121.607016
世博源餐厅,31.19241497,121.4984128
佘山餐厅,31.10615995,121.1921085
高铁北精选餐厅,31.24916171,121.4878995
高铁精选3餐厅,31.24916171,121.4878995
瞿溪餐厅,31.20888558,121.494601
佛罗伦萨广场餐厅,31.10856697,121.7668733
同乐餐厅,31.09239442,121.276368
