date,close,high,low,open,priceChange
2008-12-02,"1,889.638","1,907.775","1,846.533","1,894.615",-4.977
2008-12-01,"1,894.615","1,895.756","1,838.1","1,871.156",23.459
2008-11-28,"1,871.156","1,915.274","1,856.286","1,917.861",-46.705
2008-11-27,"1,917.861","2,022.483","1,916.466","1,897.884",19.977
2008-11-26,"1,897.884","1,914.708","1,873.179","1,888.715",9.169
2008-11-25,"1,888.715","1,939.369","1,858.165","1,897.06",-8.345
2008-11-24,"1,897.06","1,974.47","1,893.343","1,969.389",-72.329
2008-11-21,"1,969.389","2,013.179","1,893.147","1,983.76",-14.371
2008-11-20,"1,983.76","2,030.868","1,956.734","2,017.474",-33.714
2008-11-19,"2,017.474","2,023.911","1,883.835","1,902.43",115.044
2008-11-18,"1,902.43","2,050.879","1,889.865","2,030.485",-128.055
2008-11-17,"2,030.485","2,031.103","1,963.854","1,986.438",44.047
2008-11-14,"1,986.438","1,987.261","1,921.836","1,927.613",58.825
2008-11-13,"1,927.613","1,942.897","1,825.883","1,859.11",68.503
2008-11-12,"1,859.11","1,863.896","1,815.076","1,843.607",15.503
2008-11-11,"1,843.607","1,887.795","1,840.916","1,874.801",-31.194
2008-11-10,"1,874.801","1,876.162","1,782.305","1,747.713",127.088
2008-11-07,"1,747.713","1,762.233","1,680.602","1,717.722",29.991
2008-11-06,"1,717.722","1,728.219","1,703.099","1,760.609",-42.887
2008-11-05,"1,760.609","1,788.258","1,716.219","1,706.703",53.906
2008-11-04,"1,706.703","1,717.101","1,678.957","1,719.774",-13.071
2008-11-03,"1,719.774","1,750.319","1,702.981","1,728.786",-9.012
2008-10-31,"1,728.786","1,765.679","1,721.59","1,763.607",-34.821
2008-10-30,"1,763.607","1,788.204","1,710.726","1,719.812",43.795
2008-10-29,"1,719.812","1,795.087","1,719.335","1,771.821",-52.009
2008-10-28,"1,771.821","1,786.435","1,664.925","1,723.351",48.47
2008-10-27,"1,723.351","1,809.225","1,721.604","1,839.621",-116.27
2008-10-24,"1,839.621","1,888.101","1,825.526","1,875.561",-35.94
2008-10-23,"1,875.561","1,879.849","1,828.308","1,895.822",-20.261
2008-10-22,"1,895.822","1,950.791","1,894.31","1,958.529",-62.707
2008-10-21,"1,958.529","1,996.658","1,956.11","1,974.006",-15.477
2008-10-20,"1,974.006","1,979.839","1,890.92","1,930.651",43.355
2008-10-17,"1,930.651","1,941.299","1,902.598","1,909.941",20.71
2008-10-16,"1,909.941","1,943.32","1,901.503","1,994.667",-84.726
2008-10-15,"1,994.667","2,013.491","1,963.103","2,017.321",-22.654
2008-10-14,"2,017.321","2,146.73","2,016.184","2,073.568",-56.247
2008-10-13,"2,073.568","2,074.468","1,931.472","2,000.572",72.996
2008-10-10,"2,000.572","2,027.831","1,963.183","2,074.583",-74.011
2008-10-09,"2,074.583","2,130.87","2,063.408","2,092.224",-17.641
2008-10-08,"2,092.224","2,127.085","2,059.086","2,157.839",-65.615
2008-10-07,"2,157.839","2,182.998","2,072.896","2,173.738",-15.899
2008-10-06,"2,173.738","2,267.394","2,172.569","2,293.784",-120.046
2008-09-26,"2,293.784","2,310.445","2,246.279","2,297.501",-3.717
2008-09-25,"2,297.501","2,333.277","2,211.45","2,216.811",80.69
2008-09-24,"2,216.811","2,218.291","2,116.96","2,201.51",15.301
2008-09-23,"2,201.51","2,253.395","2,181.96","2,236.41",-34.9
2008-09-22,"2,236.41","2,269.733","2,164.798","2,075.091",161.319
2008-09-19,"2,075.091","2,075.091","2,043.316","1,895.837",179.254
2008-09-18,"1,895.837","1,942.846","1,802.331","1,929.047",-33.21
2008-09-17,"1,929.047","1,999.953","1,922.68","1,986.636",-57.589
2008-09-16,"1,986.636","2,049.813","1,974.388","2,079.673",-93.037
2008-09-12,"2,079.673","2,104.626","2,064.29","2,078.981",0.692
2008-09-11,"2,078.981","2,148.124","2,070.427","2,150.759",-71.778
2008-09-10,"2,150.759","2,185.694","2,102.906","2,145.779",4.98
2008-09-09,"2,145.779","2,161.35","2,114.503","2,143.421",2.358
2008-09-08,"2,143.421","2,220.546","2,135.375","2,202.446",-59.025
2008-09-05,"2,202.446","2,238.324","2,199.365","2,277.411",-74.965
2008-09-04,"2,277.411","2,295.355","2,249.12","2,276.672",0.739
2008-09-03,"2,276.672","2,321.535","2,248.067","2,304.891",-28.219
2008-09-02,"2,304.891","2,329.009","2,284.92","2,325.135",-20.244
2008-09-01,"2,325.135","2,380.468","2,311.727","2,397.369",-72.234
2008-08-29,"2,397.369","2,420.848","2,352.099","2,350.143",47.226
2008-08-28,"2,350.143","2,374.246","2,333.03","2,342.147",7.996
2008-08-27,"2,342.147","2,385.991","2,310.455","2,350.084",-7.937
2008-08-26,"2,350.084","2,403.016","2,327.22","2,413.374",-63.29
2008-08-25,"2,413.374","2,443.99","2,382.291","2,405.226",8.148
2008-08-22,"2,405.226","2,426.707","2,362.093","2,431.716",-26.49
2008-08-21,"2,431.716","2,518.443","2,431.046","2,523.282",-91.566
2008-08-20,"2,523.282","2,523.469","2,306.662","2,344.469",178.813
2008-08-19,"2,344.469","2,355.929","2,284.585","2,319.868",24.601
2008-08-18,"2,319.868","2,455.504","2,318.926","2,450.61",-130.742
2008-08-15,"2,450.61","2,476.858","2,414.573","2,437.082",13.528
2008-08-14,"2,437.082","2,454.251","2,409.01","2,446.297",-9.215
2008-08-13,"2,446.297","2,458.769","2,370.737","2,457.198",-10.901
2008-08-12,"2,457.198","2,484.746","2,430.849","2,470.074",-12.876
2008-08-11,"2,470.074","2,601.502","2,453.707","2,605.719",-135.645
2008-08-08,"2,605.719","2,725.931","2,595.917","2,727.577",-121.858
2008-08-07,"2,727.577","2,742.705","2,691.355","2,719.368",8.209
2008-08-06,"2,719.368","2,743.113","2,678.862","2,690.746",28.622
2008-08-05,"2,690.746","2,762.263","2,684.734","2,741.74",-50.994
2008-08-04,"2,741.74","2,793.257","2,738.85","2,801.817",-60.077
2008-08-01,"2,801.817","2,830.764","2,721.952","2,775.717",26.1
2008-07-31,"2,775.717","2,847.996","2,774.104","2,836.668",-60.951
2008-07-30,"2,836.668","2,894.369","2,822.188","2,850.311",-13.643
2008-07-29,"2,850.311","2,868.008","2,827.697","2,903.012",-52.701
2008-07-28,"2,903.012","2,924.447","2,883.761","2,865.101",37.911
2008-07-25,"2,865.101","2,888.578","2,851.929","2,910.292",-45.191
2008-07-24,"2,910.292","2,912.702","2,849.097","2,837.849",72.443
2008-07-23,"2,837.849","2,887.576","2,831.111","2,846.117",-8.268
2008-07-22,"2,846.117","2,868.621","2,830.765","2,861.418",-15.301
2008-07-21,"2,861.418","2,865.065","2,745.642","2,778.367",83.051
2008-07-18,"2,778.367","2,785.53","2,665.907","2,684.778",93.589
2008-07-17,"2,684.778","2,773.281","2,676.149","2,705.867",-21.089
2008-07-16,"2,705.867","2,765.148","2,656.613","2,779.448",-73.581
2008-07-15,"2,779.448","2,896.328","2,769.914","2,878.256",-98.808
2008-07-14,"2,878.256","2,895.302","2,828.236","2,856.634",21.622
2008-07-11,"2,856.634","2,888.287","2,821.311","2,875.45",-18.816
2008-07-10,"2,875.45","2,952.039","2,862.059","2,920.546",-45.096
2008-07-09,"2,920.546","2,920.546","2,838.863","2,814.947",105.599
2008-07-08,"2,814.947","2,843.603","2,754.616","2,792.397",22.55
2008-07-07,"2,792.397","2,801.534","2,673.55","2,669.892",122.505
2008-07-04,"2,669.892","2,713.476","2,645.829","2,703.529",-33.637
2008-07-03,"2,703.529","2,746.369","2,566.528","2,651.725",51.804
2008-07-02,"2,651.725","2,700.903","2,627.898","2,651.605",0.12
2008-07-01,"2,651.605","2,753.33","2,644.776","2,736.103",-84.498
2008-06-30,"2,736.103","2,766.803","2,693.404","2,748.432",-12.329
2008-06-27,"2,748.432","2,822.264","2,723.158","2,901.85",-153.418
2008-06-26,"2,901.85","2,931.306","2,851.116","2,905.014",-3.164
2008-06-25,"2,905.014","2,910.481","2,784.416","2,803.019",101.995
2008-06-24,"2,803.019","2,817.168","2,728.83","2,760.417",42.602
2008-06-23,"2,760.417","2,813.137","2,741.19","2,831.736",-71.319
2008-06-20,"2,831.736","2,917.325","2,695.628","2,748.874",82.862
2008-06-19,"2,748.874","2,921.721","2,742.151","2,941.115",-192.241
2008-06-18,"2,941.115","2,945.422","2,729.711","2,794.751",146.364
