city,日期,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3,排名
乌鲁木齐,2015/4/15,88,71~110,良,33.8,124,14.8,0.796,38.2,48,201
乌鲁木齐,2015/4/16,73,24~108,良,36.4,96.5,14,0.996,38.3,60,139
乌鲁木齐,2015/4/17,38,26~88,优,13.8,34.7,5.2,0.692,20.7,64,19
乌鲁木齐,2015/4/18,70,40~118,良,34.5,88.8,8.6,0.985,47.3,76,143
乌鲁木齐,2015/4/19,61,51~85,良,27.2,68.7,10.7,0.79,33.8,76,170
乌鲁木齐,2015/4/20,91,60~147,良,37.1,129.6,15.7,0.979,55.9,82,286
乌鲁木齐,2015/4/21,95,64~130,良,41.2,138.3,11.3,0.979,49.6,95,295
乌鲁木齐,2015/4/22,71,49~152,良,27.4,89.3,8.7,0.772,35.4,83,184
乌鲁木齐,2015/4/23,68,41~100,良,27.2,84.5,11.5,0.744,39.1,90,149
乌鲁木齐,2015/4/24,103,56~185,轻度污染,39.6,152.8,10.3,0.828,53.1,83,259
乌鲁木齐,2015/4/25,119,73~213,轻度污染,44.8,184.5,11,0.823,46.8,96,274
乌鲁木齐,2015/4/26,134,78~197,轻度污染,49.7,216.6,10.8,0.921,49.4,80,315
乌鲁木齐,2015/4/27,303,69~500,严重污染,186.1,386.8,9,0.785,37.3,63,324
乌鲁木齐,2015/4/28,81,55~150,良,29.2,109.9,7.5,0.643,37.7,65,202
乌鲁木齐,2015/4/29,74,55~105,良,32.3,95.8,8.3,0.67,42.4,76,178
乌鲁木齐,2015/4/30,88,57~129,良,30.3,123.7,9.6,0.641,39.3,73,212
昆明,2015/4/1,52,44~59,良,31.7,48.4,15.3,0.879,18.4,93,116
昆明,2015/4/2,49,39~60,优,26.2,47.5,16.1,0.776,18.8,90,133
昆明,2015/4/3,43,35~54,优,17.5,41,14.6,0.782,16.5,87,79
昆明,2015/4/4,45,38~61,优,19.5,44.3,15.4,0.786,15,96,79
昆明,2015/4/5,57,45~71,良,29.1,60.8,17.6,0.82,18.8,96,150
昆明,2015/4/6,65,33~106,良,38.7,78.3,24,1.199,34.5,106,204
昆明,2015/4/7,68,45~104,良,45.6,79.8,27.3,1.185,32.2,104,272
昆明,2015/4/8,85,55~132,良,55.8,87.5,15.1,1.306,26.1,102,282
昆明,2015/4/9,73,57~89,良,47.3,87.4,17.5,1.196,27.6,102,237
昆明,2015/4/10,63,43~86,良,44.5,64.2,11.5,1.366,27.4,62,172
昆明,2015/4/11,57,35~78,良,33.9,60.4,12,1.205,26.3,111,115
昆明,2015/4/12,45,26~97,优,22,45.2,17.2,0.952,27,100,73
昆明,2015/4/13,76,62~88,良,46,98.4,41.3,1.286,52.8,133,252
昆明,2015/4/14,68,44~98,良,41.7,84,21.4,1.099,39.4,108,134
昆明,2015/4/15,74,51~110,良,44.9,84.8,22.7,1.111,42.1,173,124
昆明,2015/4/16,87,48~134,良,56.3,116.7,20.7,1.176,48.3,129,160
昆明,2015/4/17,62,53~82,良,33.1,70.7,19.1,0.817,23.5,105,68
昆明,2015/4/18,51,46~60,良,27,47.7,13.6,0.763,13.9,99,57
昆明,2015/4/19,47,33~59,优,18.1,39.3,13.5,0.727,19,99,96
昆明,2015/4/20,52,35~65,良,22.1,48.5,19,0.698,21.9,127,125
昆明,2015/4/21,68,47~105,良,41.5,76.5,19.2,0.859,29.7,126,195
昆明,2015/4/22,40,23~64,优,25,34,8.6,0.858,22.2,81,44
昆明,2015/4/23,43,20~73,优,20.7,43.2,10.3,0.848,25.6,94,51
昆明,2015/4/24,56,38~69,良,33.5,57.7,19.4,0.991,28,119,79
昆明,2015/4/25,51,27~64,良,34.9,49.6,10,0.913,29.1,63,49
昆明,2015/4/26,49,30~66,优,27,48.3,14.1,0.96,28.8,81,39
昆明,2015/4/27,39,25~51,优,18.8,36,19.5,0.886,26.6,83,19
昆明,2015/4/28,47,34~61,优,23.7,48.6,28,0.993,33.7,75,55
昆明,2015/4/29,64,35~86,良,33.3,76.5,20,0.961,36,106,128
昆明,2015/4/30,56,42~67,良,26.5,59.4,24.5,0.976,31.3,102,76
成都,2015/4/1,98,80~121,良,70.4,120.5,18.7,0.935,45,223,301
成都,2015/4/2,69,53~88,良,38.7,82.6,7.8,0.674,32.6,160,236
